#sp   rion       Nb        pii      Viw
138 4.903727 0.973577 0.02359967 -240.442
139 4.903018 0.973342 0.02361177 -240.243
140 4.785693 0.977071 0.02388073 -229.251
141 4.902411 0.973632 0.02361790 -239.936
142 4.903262 0.973664 0.02360084 -240.763
143 4.903204 0.973792 0.02361059 -240.279
144 4.785318 0.977254 0.02388015 -229.070
145 4.787563 0.977237 0.02389424 -228.751
146 4.786358 0.977367 0.02388698 -229.272
147 4.785113 0.977498 0.02388917 -228.769
148 4.902633 0.973754 0.02361018 -240.494
149 4.902392 0.973547 0.02360085 -240.314
150 4.904798 0.973539 0.02361099 -240.381
151 4.787308 0.977709 0.02389815 -228.861
152 4.784805 0.977710 0.02388854 -228.731
153 4.786055 0.977601 0.02389816 -228.987
154 4.786458 0.977022 0.02388827 -228.980
155 4.728735 0.975816 0.02203042 -227.442
156 4.728475 0.975248 0.02202060 -227.160
157 4.726145 0.975649 0.02200871 -227.259
158 4.786928 0.977389 0.02389370 -229.043
159 4.728222 0.975340 0.02201190 -227.397
160 4.629963 0.992574 0.02200857 -214.696
161 4.728580 0.975190 0.02201979 -227.148
162 4.630385 0.993013 0.02203933 -215.007
163 4.630824 0.992790 0.02204005 -214.699
164 4.729759 0.974837 0.02200941 -227.028
165 4.730201 0.975288 0.02202983 -227.541
166 4.730690 0.974921 0.02201583 -227.019
167 4.221079 1.014938 0.02130076 -205.484
168 4.727022 0.975426 0.02200494 -227.452
169 4.217635 1.015153 0.02128624 -205.597
170 4.221093 1.015370 0.02130612 -205.367
171 4.727452 0.975167 0.02201992 -227.510
172 4.217050 1.015374 0.02128517 -205.032
173 4.217875 1.015497 0.02127552 -205.854
174 4.219465 1.015605 0.02130814 -205.678
175 4.401576 0.996490 0.01940003 -207.854
176 4.468361 0.979173 0.01955777 -210.009
177 4.401166 0.996424 0.01938567 -207.839
178 4.399716 0.996800 0.01939046 -207.405
179 4.480134 1.007237 0.02137416 -200.189
180 4.400461 0.996514 0.01940341 -207.683
181 4.480289 1.007497 0.02138061 -200.351
182 4.481279 1.007500 0.02137436 -200.216
183 4.401629 0.996703 0.01938932 -207.876
184 4.402571 0.996528 0.01940316 -208.013
185 4.401655 0.996544 0.01938846 -207.961
186 4.480769 1.007691 0.02137317 -200.310
187 4.400409 0.996639 0.01939375 -207.824
188 4.480608 1.007524 0.02137464 -200.466
189 4.480875 1.007062 0.02136822 -200.519
190 4.402243 0.996584 0.01939145 -207.883
191 4.481473 1.007556 0.02136617 -200.287
192 4.400944 0.996636 0.01938769 -207.620
193 4.481251 1.007531 0.02138051 -200.005
194 4.478852 1.007761 0.02135978 -200.175
195 4.480845 1.007304 0.02136370 -200.022
196 4.481790 1.007366 0.02135838 -200.516
197 4.480261 1.007764 0.02136958 -200.573
198 4.402951 0.996568 0.01938579 -207.706
199 4.398876 0.996583 0.01938351 -207.820
200 4.480322 1.007517 0.02137665 -200.249
201 4.404251 0.996392 0.01939057 -207.886
202 4.478506 1.007617 0.02135580 -200.156
203 4.402367 0.996661 0.01942571 -207.889
204 4.400422 0.996625 0.01940602 -207.971
205 4.401714 0.996649 0.01941400 -207.572
206 4.401572 0.996642 0.01939999 -208.006
207 4.167860 0.988326 0.01664072 -204.778
208 4.169051 0.988343 0.01665326 -204.421
209 4.266688 1.008399 0.02225949 -215.831
210 4.266396 1.008303 0.02228926 -216.256
211 4.266934 1.008502 0.02230371 -216.592
212 4.266134 1.008070 0.02226339 -216.110
213 4.266291 1.008350 0.02229335 -216.212
214 4.265932 1.008298 0.02227137 -216.129
215 4.493813 0.994273 0.02154348 -231.993
216 4.493938 0.994160 0.02153198 -231.826
217 4.492800 0.994345 0.02155034 -232.011
218 4.265667 1.008384 0.02226178 -216.065
219 4.493287 0.994217 0.02154104 -231.871
220 4.493041 0.994324 0.02156273 -231.833
221 4.265230 1.008446 0.02226736 -215.961
222 4.267079 1.008422 0.02228675 -216.251
223 4.493570 0.994313 0.02155380 -231.750
224 4.266779 1.008395 0.02228693 -216.290
225 4.492888 0.994160 0.02152811 -231.635
226 4.493759 0.994128 0.02153903 -231.835
227 4.265326 1.008352 0.02226623 -216.141
228 4.494746 0.994155 0.02155559 -231.875
229 4.266637 1.008321 0.02228340 -216.011
230 4.264465 1.008543 0.02228221 -216.051
231 4.269183 1.008171 0.02229032 -215.950
232 4.266301 1.008034 0.02224669 -216.029
233 4.494640 0.994227 0.02153271 -231.506
234 4.413036 1.010432 0.02481898 -239.279
235 4.493712 0.994128 0.02154806 -231.842
236 4.495818 0.994082 0.02154975 -232.193
237 4.494500 0.994202 0.02155318 -231.862
238 4.495154 0.994269 0.02156142 -231.617
239 4.411487 1.010162 0.02479800 -239.712
240 4.411743 1.010565 0.02482730 -239.284
241 4.493651 0.994150 0.02153825 -231.583
242 4.493910 0.994170 0.02154676 -231.758
243 4.411471 1.010168 0.02481734 -239.747
244 4.412429 1.009828 0.02481624 -239.785
245 4.494014 0.994248 0.02155045 -231.636
246 4.494044 0.994147 0.02153265 -231.649
247 4.495537 0.994262 0.02157162 -231.864
248 4.495327 0.994153 0.02154979 -231.758
249 4.493372 0.994186 0.02154848 -231.694
250 4.494729 0.994125 0.02155198 -231.820
251 4.332378 0.977372 0.01914662 -223.335
252 4.333355 0.977123 0.01915233 -223.537
253 4.494489 0.994167 0.02154300 -231.811
254 4.466848 1.002777 0.02338374 -221.947
255 4.468319 1.003154 0.02341228 -221.545
256 4.493597 0.994325 0.02155414 -231.751
257 4.494396 0.994168 0.02154903 -232.095
258 4.468950 1.002878 0.02341889 -221.996
259 4.494815 0.994125 0.02155531 -232.117
260 4.494007 0.994184 0.02155413 -231.709
261 4.495351 0.994072 0.02155953 -231.590
262 4.466777 1.002890 0.02340061 -222.048
263 4.467079 1.003187 0.02341816 -221.415
264 4.490835 0.994302 0.02153832 -231.706
265 4.493638 0.994190 0.02154036 -231.627
266 4.493913 0.994244 0.02155437 -231.703
267 4.494637 0.994097 0.02153414 -231.620
268 4.468963 1.002854 0.02339463 -221.760
269 4.467380 1.002769 0.02337396 -221.504
270 4.544624 1.010764 0.02546700 -233.845
271 4.545177 1.010615 0.02545893 -234.149
272 4.544886 1.010896 0.02547780 -234.344
273 4.543470 1.010561 0.02546658 -234.047
274 4.468428 1.002851 0.02341652 -222.082
275 4.308756 0.991734 0.01969209 -204.825
276 4.467699 1.003062 0.02339488 -221.909
277 4.307786 0.992051 0.01970503 -204.618
278 4.466315 1.003164 0.02340346 -221.539
279 4.467537 1.003106 0.02338996 -221.297
280 4.467787 1.002845 0.02336963 -221.733
281 4.467473 1.003023 0.02341934 -221.949
282 4.468708 1.002879 0.02339666 -221.528
283 4.310164 0.991778 0.01970797 -204.317
284 4.310136 0.991840 0.01970529 -204.326
285 4.308624 0.991793 0.01970428 -204.449
286 4.468152 1.003002 0.02341178 -221.716
287 4.311282 0.991733 0.01971375 -204.448
288 4.468633 1.003122 0.02339956 -221.518
289 4.468133 1.002967 0.02340782 -221.437
290 4.264560 1.002456 0.02184645 -213.650
291 4.265688 1.001986 0.02184694 -213.163
292 4.265279 1.002378 0.02187181 -213.252
293 4.264703 1.002134 0.02186389 -213.603
294 4.163683 1.125287 0.02236198 -220.590
295 4.266014 1.002085 0.02185884 -213.524
296 4.169698 1.039689 0.02133716 -218.280
297 4.166512 1.042462 0.02130450 -218.579
298 4.470871 0.977639 0.02284929 -212.117
299 4.473897 0.975918 0.02283321 -211.413
300 4.169627 1.040650 0.02132970 -218.641
301 4.166922 1.041899 0.02130229 -218.579
