#sp   rion       Nb        pii      Viw
138 4.902008 0.973487 0.02363146 -239.956
139 4.903415 0.973955 0.02360721 -240.421
140 4.785449 0.977826 0.02391176 -228.615
141 4.904632 0.973383 0.02359515 -240.938
142 4.902921 0.973313 0.02362906 -239.626
143 4.903053 0.973049 0.02360963 -240.453
144 4.786207 0.977467 0.02391282 -228.953
145 4.781688 0.977506 0.02388468 -229.764
146 4.784112 0.977246 0.02389924 -228.767
147 4.786608 0.976982 0.02389495 -229.407
148 4.904174 0.973132 0.02361042 -239.929
149 4.904669 0.973551 0.02362909 -240.018
150 4.899863 0.973560 0.02360870 -240.163
151 4.782218 0.976547 0.02387695 -229.381
152 4.787217 0.976542 0.02389620 -229.695
153 4.784718 0.976773 0.02387664 -229.040
154 4.783906 0.977961 0.02389648 -229.300
155 4.727094 0.973948 0.02197554 -227.157
156 4.727619 0.975123 0.02199528 -227.619
157 4.732278 0.974299 0.02201904 -227.404
158 4.782976 0.977205 0.02388548 -229.063
159 4.728114 0.974941 0.02201284 -227.200
160 4.633020 0.993516 0.02209068 -215.562
161 4.727409 0.975243 0.02199643 -227.669
162 4.632180 0.992640 0.02202918 -214.782
163 4.631300 0.993075 0.02202757 -215.462
164 4.725053 0.975929 0.02201728 -228.005
165 4.724165 0.975045 0.02197622 -226.977
166 4.723187 0.975772 0.02200433 -227.961
167 4.215449 1.015770 0.02128864 -205.620
168 4.730518 0.974764 0.02202613 -227.183
169 4.222322 1.015524 0.02131748 -205.340
170 4.215413 1.015429 0.02127776 -205.626
171 4.729665 0.975285 0.02199611 -226.991
172 4.223494 1.015416 0.02131947 -206.435
173 4.221851 1.015171 0.02133875 -204.864
174 4.218658 1.014976 0.02127371 -204.967
175 4.401461 0.996858 0.01938946 -207.889
176 4.465567 0.979759 0.01956581 -209.692
177 4.402282 0.996997 0.01941778 -207.963
178 4.405199 0.996246 0.01940846 -208.728
179 4.480564 1.008089 0.02136948 -200.454
180 4.403683 0.996816 0.01938240 -208.025
181 4.480266 1.007541 0.02135645 -200.121
182 4.478290 1.007538 0.02136921 -200.566
183 4.401357 0.996446 0.01941074 -207.718
184 4.399479 0.996793 0.01938312 -207.484
185 4.401296 0.996756 0.01941255 -207.660
186 4.479306 1.007172 0.02137147 -200.330
187 4.403806 0.996569 0.01940180 -208.050
188 4.479630 1.007499 0.02136860 -199.993
189 4.479095 1.008466 0.02138141 -199.796
190 4.400138 0.996678 0.01940665 -207.802
191 4.477907 1.007428 0.02138551 -200.367
192 4.402742 0.996575 0.01941402 -208.288
193 4.478344 1.007478 0.02135674 -200.801
194 4.483139 1.007044 0.02139815 -200.644
195 4.479163 1.007936 0.02139053 -200.958
196 4.477248 1.007808 0.02140104 -199.661
197 4.480315 1.007024 0.02137870 -199.740
198 4.398727 0.996710 0.01941785 -208.362
199 4.406878 0.996681 0.01942248 -207.958
200 4.480191 1.007508 0.02136462 -200.458
201 4.396119 0.997061 0.01940839 -207.695
202 4.483822 1.007313 0.02140619 -200.575
203 4.399883 0.996527 0.01933786 -207.763
204 4.403767 0.996598 0.01937741 -207.649
205 4.401191 0.996547 0.01936137 -208.509
206 4.401480 0.996564 0.01938943 -207.557
207 4.169167 0.988484 0.01670479 -204.879
208 4.166782 0.988450 0.01667938 -205.387
209 4.265334 1.008091 0.02230402 -216.860
210 4.265931 1.008278 0.02224434 -216.223
211 4.264854 1.007889 0.02221568 -215.537
212 4.266445 1.008765 0.02229632 -216.470
213 4.266137 1.008185 0.02223638 -216.195
214 4.266855 1.008288 0.02228022 -216.353
215 4.494372 0.994058 0.02155972 -231.406
216 4.494123 0.994276 0.02158273 -231.626
217 4.496397 0.993900 0.02154618 -231.346
218 4.267381 1.008123 0.02229795 -216.555
219 4.495410 0.994163 0.02156459 -231.558
220 4.495920 0.993948 0.02152135 -231.859
221 4.268256 1.007993 0.02228658 -216.959
222 4.264567 1.008043 0.02224795 -216.302
223 4.494857 0.993970 0.02153915 -231.888
224 4.265162 1.008109 0.02224767 -215.994
225 4.496221 0.994276 0.02159059 -232.163
226 4.494481 0.994338 0.02156866 -231.684
227 4.268055 1.008179 0.02228875 -216.588
228 4.492493 0.994287 0.02153554 -231.559
229 4.265447 1.008252 0.02225458 -216.720
230 4.269782 1.007807 0.02225705 -216.718
231 4.260352 1.008546 0.02224056 -216.818
232 4.266112 1.008825 0.02232795 -216.637
233 4.492717 0.994141 0.02158139 -232.298
234 4.409573 1.009838 0.02482932 -239.998
235 4.494563 0.994350 0.02154909 -231.623
236 4.490351 0.994440 0.02154579 -230.833
237 4.493000 0.994204 0.02153886 -231.353
238 4.491679 0.994069 0.02152222 -231.985
239 4.412683 1.010375 0.02487134 -239.008
240 4.412160 1.009588 0.02481285 -239.900
241 4.494698 0.994308 0.02156870 -231.926
242 4.494178 0.994266 0.02155176 -231.798
243 4.412708 1.010358 0.02483284 -238.966
244 4.410800 1.011076 0.02483494 -239.181
245 4.493956 0.994112 0.02154421 -232.079
246 4.493894 0.994312 0.02157980 -231.897
247 4.490913 0.994082 0.02150182 -231.492
248 4.491344 0.994299 0.02154556 -231.938
249 4.495254 0.994241 0.02154837 -231.825
250 4.492524 0.994362 0.02154121 -231.824
251 4.331772 0.977461 0.01915627 -224.379
252 4.329834 0.977943 0.01914480 -224.190
253 4.493027 0.994272 0.02155931 -231.846
254 4.469046 1.003335 0.02342581 -221.561
255 4.466099 1.002572 0.02336878 -222.321
256 4.494797 0.993959 0.02153690 -231.766
257 4.493202 0.994272 0.02154708 -231.207
258 4.464825 1.003116 0.02335545 -221.613
259 4.492369 0.994361 0.02153461 -230.938
260 4.493971 0.994240 0.02153688 -231.835
261 4.491266 0.994461 0.02152590 -232.212
262 4.469175 1.003090 0.02339201 -221.290
263 4.468567 1.002508 0.02335707 -222.511
264 4.500329 0.994003 0.02156850 -231.970
265 4.494724 0.994227 0.02156448 -232.028
266 4.494176 0.994118 0.02153660 -231.989
267 4.492723 0.994410 0.02157695 -232.064
