#sp   rion       Nb        pii      Viw
138 4.902578 0.973518 0.02362090 -240.105
139 4.903287 0.973750 0.02360880 -240.397
140 4.785528 0.977578 0.02390147 -228.871
141 4.903896 0.973463 0.02360271 -240.670
142 4.903044 0.973430 0.02361973 -239.926
143 4.903102 0.973299 0.02360996 -240.341
144 4.785902 0.977398 0.02390206 -229.092
145 4.783657 0.977413 0.02388795 -229.377
146 4.784862 0.977284 0.02389524 -228.865
147 4.786108 0.977153 0.02389304 -229.348
148 4.903673 0.973339 0.02361039 -240.056
149 4.903913 0.973547 0.02361970 -240.232
150 4.901508 0.973553 0.02360954 -240.227
151 4.783913 0.976938 0.02388406 -229.308
152 4.786417 0.976936 0.02389366 -229.331
153 4.785166 0.977050 0.02388386 -229.056
154 4.784762 0.977640 0.02389378 -229.245
155 4.727655 0.974581 0.02199387 -227.226
156 4.727915 0.975162 0.02200371 -227.558
157 4.730245 0.974754 0.02201562 -227.373
158 4.784294 0.977266 0.02388831 -229.078
159 4.728168 0.975069 0.02201241 -227.294
160 4.632005 0.993201 0.02206335 -215.163
161 4.727810 0.975221 0.02200423 -227.530
162 4.631583 0.992763 0.02203262 -214.846
163 4.631143 0.992983 0.02203186 -215.225
164 4.726632 0.975567 0.02201461 -227.649
165 4.726190 0.975122 0.02199414 -227.122
166 4.725700 0.975487 0.02200817 -227.628
167 4.217304 1.015801 0.02129274 -205.575
168 4.729368 0.974983 0.02201906 -227.181
169 4.220748 1.015636 0.02130722 -205.400
170 4.217289 1.015416 0.02128738 -205.605
171 4.728937 0.975243 0.02200410 -227.197
172 4.221332 1.015416 0.02130830 -205.869
173 4.220508 1.015287 0.02131790 -205.174
174 4.218918 1.015186 0.02128536 -205.337
175 4.401505 0.996737 0.01939295 -207.889
176 4.466491 0.979561 0.01956314 -209.745
177 4.401916 0.996805 0.01940710 -207.883
178 4.403366 0.996430 0.01940240 -208.237
179 4.480432 1.007799 0.02137109 -200.376
180 4.402620 0.996714 0.01938941 -208.036
181 4.480279 1.007529 0.02136460 -200.234
182 4.479287 1.007527 0.02137089 -200.368
183 4.401454 0.996527 0.01940352 -207.842
184 4.400511 0.996702 0.01938972 -207.715
185 4.401426 0.996684 0.01940441 -207.772
186 4.479798 1.007342 0.02137207 -200.330
187 4.402672 0.996590 0.01939908 -207.848
188 4.479960 1.007507 0.02137058 -200.179
189 4.479692 1.007982 0.02137702 -200.046
190 4.400838 0.996645 0.01940138 -207.835
191 4.479095 1.007472 0.02137906 -200.411
192 4.402137 0.996593 0.01940514 -208.064
193 4.479315 1.007497 0.02136471 -200.574
194 4.481714 1.007276 0.02138542 -200.462
195 4.479722 1.007725 0.02138154 -200.584
196 4.478776 1.007662 0.02138686 -200.036
197 4.480305 1.007268 0.02137564 -200.097
198 4.400130 0.996661 0.01940707 -208.019
199 4.404206 0.996647 0.01940936 -207.906
200 4.480244 1.007512 0.02136860 -200.315
201 4.398830 0.996837 0.01940235 -207.835
202 4.482062 1.007413 0.02138942 -200.401
203 4.400713 0.996569 0.01936713 -207.778
204 4.402659 0.996605 0.01938685 -207.786
205 4.401369 0.996580 0.01937885 -208.120
206 4.401509 0.996588 0.01939285 -207.774
207 4.168731 0.988429 0.01668311 -204.861
208 4.167541 0.988413 0.01667040 -205.135
209 4.265780 1.008194 0.02228932 -216.637
210 4.266072 1.008288 0.02225951 -216.255
211 4.265533 1.008092 0.02224513 -215.890
212 4.266334 1.008528 0.02228543 -216.320
213 4.266176 1.008241 0.02225544 -216.294
214 4.266535 1.008293 0.02227741 -216.391
215 4.494181 0.994127 0.02155421 -231.561
216 4.494057 0.994238 0.02156572 -231.663
217 4.495195 0.994051 0.02154737 -231.582
218 4.266800 1.008208 0.02228595 -216.516
219 4.494708 0.994181 0.02155665 -231.695
220 4.494954 0.994074 0.02153503 -231.753
221 4.267238 1.008144 0.02228036 -216.661
222 4.265389 1.008169 0.02226098 -216.265
