#sp   rion       Nb        pii      Viw
128 5.062012 0.967116 0.02226068 -222.609
129 5.060290 0.967333 0.02223811 -222.442
130 4.903492 0.973488 0.02360753 -240.569
131 5.062115 0.967065 0.02225717 -222.068
132 4.904753 0.973356 0.02362202 -240.206
133 4.905307 0.973660 0.02360171 -240.142
134 4.903597 0.973651 0.02361411 -240.343
135 5.061177 0.967303 0.02226290 -222.914
136 4.900691 0.973823 0.02360055 -240.240
137 4.903086 0.973565 0.02361155 -240.598
138 4.902578 0.973518 0.02362090 -240.098
139 4.903288 0.973750 0.02360880 -240.398
140 4.785528 0.977578 0.02390147 -228.871
141 4.903896 0.973463 0.02360271 -240.669
142 4.903045 0.973430 0.02361973 -239.929
143 4.903102 0.973299 0.02360996 -240.341
144 4.785903 0.977398 0.02390206 -229.089
145 4.783658 0.977413 0.02388795 -229.378
146 4.784862 0.977285 0.02389524 -228.865
147 4.786108 0.977153 0.02389304 -229.349
148 4.903674 0.973339 0.02361039 -240.056
149 4.903914 0.973547 0.02361971 -240.228
150 4.901508 0.973554 0.02360955 -240.226
151 4.783913 0.976938 0.02388406 -229.308
152 4.786417 0.976936 0.02389366 -229.330
153 4.785167 0.977050 0.02388386 -229.055
154 4.784762 0.977640 0.02389378 -229.243
155 4.727656 0.974581 0.02199388 -227.228
156 4.727915 0.975162 0.02200371 -227.545
157 4.730246 0.974754 0.02201562 -227.372
158 4.784294 0.977266 0.02388831 -229.078
159 4.728169 0.975069 0.02201241 -227.333
160 4.632005 0.993201 0.02206335 -215.163
161 4.727810 0.975221 0.02200423 -227.529
162 4.631583 0.992763 0.02203262 -214.833
163 4.631143 0.992983 0.02203187 -215.231
164 4.726632 0.975567 0.02201461 -227.646
165 4.726191 0.975122 0.02199414 -227.120
166 4.725701 0.975487 0.02200817 -227.626
167 4.217304 1.015801 0.02129274 -205.574
168 4.729369 0.974983 0.02201906 -227.182
169 4.220748 1.015636 0.02130722 -205.399
170 4.217289 1.015416 0.02128738 -205.606
171 4.728938 0.975243 0.02200411 -227.196
172 4.221332 1.015416 0.02130829 -205.868
173 4.220508 1.015287 0.02131790 -205.172
174 4.218918 1.015186 0.02128535 -205.337
175 4.401506 0.996737 0.01939295 -207.878
176 4.466492 0.979561 0.01956314 -209.746
177 4.401916 0.996805 0.01940711 -207.883
178 4.403367 0.996430 0.01940240 -208.238
179 4.480433 1.007799 0.02137109 -200.357
180 4.402620 0.996714 0.01938941 -208.035
181 4.480279 1.007529 0.02136460 -200.236
182 4.479288 1.007528 0.02137089 -200.368
183 4.401454 0.996527 0.01940352 -207.842
