#sp   rion       Nb        pii      Viw
138 4.903146 0.973551 0.02361031 -240.315
139 4.903156 0.973545 0.02361037 -240.316
140 4.785604 0.977328 0.02389108 -229.079
141 4.903159 0.973545 0.02361030 -240.320
142 4.903165 0.973548 0.02361038 -240.319
143 4.903148 0.973548 0.02361025 -240.320
144 4.785595 0.977330 0.02389122 -229.080
145 4.785625 0.977321 0.02389112 -229.081
146 4.785610 0.977325 0.02389116 -229.073
147 4.785604 0.977324 0.02389107 -229.082
148 4.903169 0.973545 0.02361033 -240.320
149 4.903155 0.973545 0.02361029 -240.316
150 4.903151 0.973547 0.02361034 -240.320
151 4.785605 0.977325 0.02389110 -229.080
152 4.785615 0.977327 0.02389103 -229.082
153 4.785613 0.977326 0.02389100 -229.074
154 4.785616 0.977327 0.02389103 -229.080
155 4.728204 0.975204 0.02201218 -227.318
156 4.728197 0.975205 0.02201213 -227.321
157 4.728200 0.975206 0.02201222 -227.320
158 4.785611 0.977328 0.02389105 -229.078
159 4.728210 0.975200 0.02201197 -227.322
160 4.630993 0.992885 0.02203599 -214.975
161 4.728197 0.975204 0.02201203 -227.323
162 4.630988 0.992887 0.02203603 -214.973
163 4.630989 0.992888 0.02203612 -214.972
164 4.728198 0.975203 0.02201194 -227.323
165 4.728202 0.975203 0.02201204 -227.323
166 4.728203 0.975204 0.02201200 -227.323
167 4.219176 1.015397 0.02129669 -205.443
168 4.728205 0.975202 0.02201199 -227.323
169 4.219191 1.015395 0.02129676 -205.437
170 4.219182 1.015397 0.02129687 -205.439
171 4.728197 0.975206 0.02201210 -227.323
172 4.219186 1.015396 0.02129694 -205.444
173 4.219182 1.015396 0.02129683 -205.447
174 4.219194 1.015395 0.02129686 -205.437
175 4.401548 0.996614 0.01939650 -207.857
176 4.467414 0.979366 0.01956044 -209.933
177 4.401549 0.996613 0.01939646 -207.870
178 4.401534 0.996615 0.01939642 -207.838
179 4.480297 1.007515 0.02137273 -200.329
180 4.401555 0.996614 0.01939645 -207.841
181 4.480289 1.007515 0.02137273 -200.330
182 4.480283 1.007515 0.02137261 -200.328
183 4.401551 0.996613 0.01939636 -207.839
184 4.401541 0.996614 0.01939643 -207.841
185 4.401555 0.996614 0.01939637 -207.858
186 4.480287 1.007515 0.02137268 -200.343
187 4.401535 0.996613 0.01939642 -207.838
188 4.480288 1.007515 0.02137257 -200.330
189 4.480286 1.007515 0.02137264 -200.330
190 4.401539 0.996614 0.01939618 -207.839
191 4.480280 1.007515 0.02137260 -200.317
192 4.401531 0.996614 0.01939633 -207.858
193 4.480284 1.007515 0.02137268 -200.311
194 4.480287 1.007515 0.02137267 -200.328
195 4.480279 1.007515 0.02137255 -200.330
196 4.480301 1.007515 0.02137269 -200.332
197 4.480291 1.007515 0.02137256 -200.329
198 4.401531 0.996614 0.01939640 -207.842
199 4.401532 0.996614 0.01939633 -207.856
200 4.480294 1.007514 0.02137262 -200.329
201 4.401540 0.996614 0.01939643 -207.841
202 4.480299 1.007514 0.02137265 -200.330
203 4.401542 0.996614 0.01939646 -207.840
204 4.401549 0.996613 0.01939640 -207.840
205 4.401545 0.996614 0.01939640 -207.840
206 4.401536 0.996614 0.01939635 -207.840
207 4.168295 0.988375 0.01666167 -204.827
208 4.168299 0.988377 0.01666167 -204.834
209 4.266237 1.008296 0.02227450 -216.313
210 4.266224 1.008296 0.02227453 -216.311
211 4.266224 1.008297 0.02227451 -216.313
212 4.266234 1.008296 0.02227443 -216.313
213 4.266226 1.008296 0.02227437 -216.314
214 4.266226 1.008296 0.02227443 -216.315
215 4.493992 0.994199 0.02154882 -231.792
216 4.493994 0.994199 0.02154884 -231.786
217 4.493995 0.994199 0.02154871 -231.785
218 4.266230 1.008295 0.02227383 -216.313
219 4.494007 0.994199 0.02154884 -231.793
220 4.493990 0.994200 0.02154889 -231.788
221 4.266231 1.008295 0.02227399 -216.313
222 4.266224 1.008296 0.02227389 -216.313
223 4.493994 0.994198 0.02154882 -231.788
224 4.266226 1.008294 0.02227380 -216.313
225 4.493993 0.994199 0.02154868 -231.786
226 4.493994 0.994200 0.02154884 -231.794
227 4.266237 1.008295 0.02227402 -216.313
228 4.494008 0.994199 0.02154885 -231.792
229 4.266229 1.008295 0.02227391 -216.313
230 4.266236 1.008295 0.02227394 -216.313
231 4.266228 1.008294 0.02227392 -216.313
232 4.266231 1.008295 0.02227394 -216.312
233 4.493993 0.994199 0.02154879 -231.787
234 4.411877 1.010233 0.02482255 -239.523
235 4.494005 0.994203 0.02154830 -231.788
236 4.494006 0.994202 0.02154821 -231.788
237 4.493991 0.994203 0.02154831 -231.788
238 4.494005 0.994203 0.02154840 -231.776
239 4.411867 1.010234 0.02482259 -239.533
240 4.411879 1.010234 0.02482253 -239.526
241 4.493993 0.994202 0.02154828 -231.788
242 4.493994 0.994202 0.02154820 -231.786
243 4.411873 1.010233 0.02482247 -239.525
244 4.411867 1.010235 0.02482261 -239.533
245 4.494008 0.994202 0.02154839 -231.787
246 4.494008 0.994203 0.02154838 -231.787
247 4.494003 0.994202 0.02154832 -231.788
248 4.493994 0.994203 0.02154835 -231.787
249 4.493995 0.994202 0.02154815 -231.787
250 4.494009 0.994201 0.02154834 -231.786
251 4.332188 0.977396 0.01914985 -223.670
252 4.332176 0.977399 0.01914989 -223.673
253 4.493989 0.994203 0.02154821 -231.786
254 4.467577 1.002960 0.02339784 -221.759
255 4.467580 1.002960 0.02339776 -221.757
256 4.494000 0.994202 0.02154836 -231.787
257 4.493996 0.994203 0.02154838 -231.788
258 4.467593 1.002960 0.02339780 -221.757
259 4.493994 0.994202 0.02154830 -231.787
260 4.494006 0.994202 0.02154830 -231.788
261 4.494023 0.994202 0.02154842 -231.788
262 4.467590 1.002960 0.02339781 -221.758
263 4.467594 1.002959 0.02339779 -221.757
264 4.493996 0.994203 0.02154839 -231.787
265 4.493992 0.994203 0.02154830 -231.787
266 4.493996 0.994203 0.02154823 -231.788
267 4.493994 0.994202 0.02154834 -231.788
268 4.467588 1.002959 0.02339792 -221.759
269 4.467573 1.002961 0.02339787 -221.755
270 4.544031 1.010723 0.02546121 -233.990
271 4.544040 1.010722 0.02546125 -233.991
272 4.544025 1.010724 0.02546137 -233.977
273 4.544051 1.010722 0.02546129 -233.974
274 4.467583 1.002962 0.02339777 -221.754
275 4.308941 0.991864 0.01970539 -204.529
276 4.467580 1.002961 0.02339761 -221.753
277 4.308929 0.991866 0.01970530 -204.529
278 4.467577 1.002962 0.02339761 -221.754
279 4.467581 1.002963 0.02339777 -221.754
280 4.467588 1.002960 0.02339752 -221.754
281 4.467574 1.002962 0.02339764 -221.754
282 4.467589 1.002961 0.02339770 -221.754
283 4.308948 0.991864 0.01970547 -204.532
284 4.308950 0.991863 0.01970546 -204.535
285 4.308948 0.991863 0.01970538 -204.528
286 4.467577 1.002961 0.02339763 -221.755
287 4.308948 0.991864 0.01970554 -204.534
288 4.467597 1.002961 0.02339776 -221.754
289 4.467589 1.002962 0.02339766 -221.754
290 4.265030 1.002215 0.02185299 -213.375
291 4.265031 1.002215 0.02185294 -213.388
292 4.265028 1.002223 0.02185345 -213.378
293 4.265040 1.002223 0.02185356 -213.378
294 4.162572 1.124359 0.02235295 -220.673
295 4.265034 1.002224 0.02185352 -213.378
296 4.168278 1.041721 0.02131681 -218.525
297 4.168270 1.041719 0.02131673 -218.526
298 4.472527 0.977460 0.02285040 -211.737
299 4.472535 0.977453 0.02285038 -211.737
300 4.168282 1.041679 0.02131644 -218.526
301 4.168281 1.041662 0.02131663 -218.526
302 4.168285 1.041661 0.02131656 -218.526
303 4.168285 1.041661 0.02131651 -218.526
304 4.168274 1.041665 0.02131655 -218.526
305 4.168283 1.041663 0.02131660 -218.526
306 4.319878 1.052324 0.02169643 -208.200
307 4.168281 1.041663 0.02131656 -218.525
308 4.168282 1.041662 0.02131647 -218.526
309 4.352840 0.992211 0.02117361 -215.362
310 4.352841 0.992210 0.02117382 -215.364
311 4.168281 1.041661 0.02131652 -218.526
312 4.168275 1.041660 0.02131647 -218.526
313 4.707621 0.986824 0.02331133 -227.134
314 4.168273 1.041661 0.02131652 -218.526
315 4.707621 0.986825 0.02331128 -227.135
316 4.707624 0.986828 0.02331133 -227.135
317 4.707628 0.986824 0.02331132 -227.136
318 4.168272 1.041662 0.02131650 -218.526
319 4.168285 1.041660 0.02131655 -218.526
