#sp   rion       Nb        pii      Viw
138 4.903155 0.973551 0.02361030 -240.316
139 4.903155 0.973551 0.02361030 -240.316
140 4.785612 0.977317 0.02389115 -229.055
141 4.903155 0.973551 0.02361030 -240.316
142 4.903155 0.973551 0.02361030 -240.316
143 4.903155 0.973551 0.02361030 -240.316
144 4.785612 0.977317 0.02389115 -229.055
145 4.785612 0.977317 0.02389115 -229.055
146 4.785612 0.977317 0.02389115 -229.055
147 4.785612 0.977317 0.02389115 -229.055
148 4.903155 0.973551 0.02361030 -240.316
149 4.903155 0.973551 0.02361030 -240.316
150 4.903155 0.973551 0.02361030 -240.316
151 4.785612 0.977317 0.02389115 -229.055
152 4.785612 0.977317 0.02389115 -229.055
153 4.785612 0.977317 0.02389106 -229.080
154 4.785612 0.977317 0.02389106 -229.080
155 4.728202 0.975205 0.02201216 -227.349
156 4.728202 0.975205 0.02201216 -227.349
157 4.728202 0.975205 0.02201216 -227.349
158 4.785612 0.977317 0.02389106 -229.080
159 4.728202 0.975205 0.02201216 -227.349
160 4.630983 0.992875 0.02203599 -214.938
161 4.728202 0.975205 0.02201201 -227.319
162 4.630983 0.992875 0.02203599 -214.938
163 4.630983 0.992875 0.02203599 -214.938
164 4.728202 0.975205 0.02201201 -227.319
165 4.728202 0.975205 0.02201201 -227.319
166 4.728202 0.975205 0.02201201 -227.319
167 4.219183 1.015387 0.02129683 -205.435
168 4.728202 0.975205 0.02201201 -227.323
169 4.219183 1.015387 0.02129683 -205.435
170 4.219183 1.015387 0.02129683 -205.435
171 4.728202 0.975205 0.02201201 -227.323
172 4.219183 1.015387 0.02129683 -205.435
173 4.219183 1.015387 0.02129683 -205.435
174 4.219183 1.015387 0.02129683 -205.435
175 4.401542 0.996613 0.01939646 -207.836
176 4.467428 0.979389 0.01956048 -209.949
177 4.401542 0.996613 0.01939637 -207.853
178 4.401542 0.996613 0.01939639 -207.839
179 4.480285 1.007535 0.02137261 -200.319
180 4.401542 0.996613 0.01939639 -207.839
181 4.480285 1.007535 0.02137261 -200.319
182 4.480285 1.007535 0.02137261 -200.319
183 4.401542 0.996613 0.01939639 -207.839
184 4.401542 0.996613 0.01939639 -207.839
185 4.401542 0.996613 0.01939639 -207.839
186 4.480285 1.007535 0.02137261 -200.319
187 4.401542 0.996613 0.01939639 -207.839
188 4.480285 1.007535 0.02137261 -200.319
189 4.480285 1.007535 0.02137261 -200.319
190 4.401542 0.996613 0.01939639 -207.839
191 4.480285 1.007535 0.02137261 -200.319
192 4.401542 0.996613 0.01939639 -207.839
193 4.480285 1.007535 0.02137261 -200.319
194 4.480285 1.007535 0.02137261 -200.319
195 4.480285 1.007535 0.02137261 -200.319
196 4.480285 1.007535 0.02137261 -200.319
197 4.480285 1.007535 0.02137261 -200.319
198 4.401542 0.996613 0.01939639 -207.839
199 4.401542 0.996613 0.01939639 -207.839
200 4.480285 1.007535 0.02137261 -200.319
201 4.401542 0.996613 0.01939639 -207.839
202 4.480285 1.007535 0.02137261 -200.319
203 4.401542 0.996613 0.01939639 -207.839
204 4.401542 0.996613 0.01939639 -207.839
205 4.401542 0.996613 0.01939639 -207.839
206 4.401542 0.996613 0.01939639 -207.839
207 4.168296 0.988369 0.01666181 -204.793
208 4.168296 0.988369 0.01666172 -204.827
209 4.266228 1.008298 0.02227447 -216.284
210 4.266228 1.008298 0.02227447 -216.284
211 4.266228 1.008298 0.02227447 -216.284
212 4.266228 1.008298 0.02227447 -216.284
213 4.266228 1.008298 0.02227447 -216.284
214 4.266228 1.008298 0.02227447 -216.284
215 4.493996 0.994206 0.02154880 -231.808
216 4.493996 0.994206 0.02154880 -231.808
217 4.493996 0.994206 0.02154880 -231.808
218 4.266228 1.008298 0.02227393 -216.313
219 4.493996 0.994206 0.02154880 -231.808
220 4.493996 0.994206 0.02154880 -231.808
221 4.266228 1.008298 0.02227393 -216.313
222 4.266228 1.008298 0.02227393 -216.313
223 4.493996 0.994206 0.02154880 -231.808
224 4.266228 1.008298 0.02227393 -216.313
225 4.493996 0.994206 0.02154880 -231.808
226 4.493996 0.994206 0.02154880 -231.808
227 4.266228 1.008298 0.02227393 -216.313
228 4.493996 0.994206 0.02154880 -231.808
229 4.266228 1.008298 0.02227393 -216.313
230 4.266228 1.008298 0.02227393 -216.313
231 4.266228 1.008298 0.02227393 -216.313
232 4.266228 1.008298 0.02227393 -216.313
233 4.493996 0.994206 0.02154880 -231.808
234 4.411874 1.010243 0.02482261 -239.577
235 4.493996 0.994204 0.02154828 -231.788
236 4.493996 0.994204 0.02154828 -231.788
237 4.493996 0.994204 0.02154828 -231.788
238 4.493996 0.994204 0.02154828 -231.788
239 4.411874 1.010243 0.02482261 -239.577
240 4.411874 1.010243 0.02482261 -239.577
241 4.493996 0.994204 0.02154828 -231.788
242 4.493996 0.994204 0.02154828 -231.788
243 4.411874 1.010243 0.02482261 -239.577
244 4.411874 1.010243 0.02482261 -239.577
245 4.493996 0.994204 0.02154828 -231.788
246 4.493996 0.994204 0.02154828 -231.788
247 4.493996 0.994204 0.02154828 -231.788
248 4.493996 0.994204 0.02154828 -231.788
249 4.493996 0.994204 0.02154828 -231.788
250 4.493996 0.994204 0.02154828 -231.788
251 4.332179 0.977397 0.01914979 -223.675
252 4.332179 0.977397 0.01914979 -223.675
253 4.493996 0.994204 0.02154828 -231.788
254 4.467583 1.002961 0.02339781 -221.813
255 4.467583 1.002961 0.02339781 -221.813
256 4.493996 0.994204 0.02154828 -231.788
257 4.493996 0.994204 0.02154828 -231.788
258 4.467583 1.002961 0.02339781 -221.813
259 4.493996 0.994204 0.02154828 -231.788
260 4.493996 0.994204 0.02154828 -231.788
261 4.493996 0.994204 0.02154828 -231.788
262 4.467583 1.002961 0.02339781 -221.813
263 4.467583 1.002961 0.02339781 -221.813
264 4.493996 0.994204 0.02154828 -231.788
265 4.493996 0.994204 0.02154828 -231.788
266 4.493996 0.994204 0.02154828 -231.788
267 4.493996 0.994204 0.02154828 -231.788
268 4.467583 1.002961 0.02339781 -221.813
269 4.467583 1.002961 0.02339781 -221.813
270 4.544031 1.010728 0.02546123 -233.991
271 4.544031 1.010728 0.02546123 -233.991
272 4.544031 1.010728 0.02546123 -233.991
273 4.544031 1.010728 0.02546123 -233.991
274 4.467583 1.002961 0.02339771 -221.757
275 4.308941 0.991863 0.01970543 -204.518
276 4.467583 1.002961 0.02339771 -221.754
277 4.308941 0.991863 0.01970543 -204.518
278 4.467583 1.002961 0.02339771 -221.754
279 4.467583 1.002961 0.02339771 -221.754
280 4.467583 1.002961 0.02339771 -221.754
281 4.467583 1.002961 0.02339771 -221.754
282 4.467583 1.002961 0.02339771 -221.754
283 4.308941 0.991863 0.01970543 -204.518
284 4.308941 0.991863 0.01970543 -204.518
285 4.308941 0.991863 0.01970543 -204.518
286 4.467583 1.002961 0.02339771 -221.754
287 4.308941 0.991863 0.01970543 -204.518
288 4.467583 1.002961 0.02339771 -221.754
289 4.467583 1.002961 0.02339771 -221.754
290 4.265032 1.002214 0.02185310 -213.313
291 4.265032 1.002214 0.02185310 -213.313
292 4.265032 1.002220 0.02185353 -213.375
293 4.265032 1.002220 0.02185353 -213.375
294 4.162568 1.124334 0.02235301 -220.645
295 4.265032 1.002220 0.02185353 -213.375
296 4.168279 1.041673 0.02131682 -218.555
297 4.168279 1.041673 0.02131682 -218.555
298 4.472532 0.977473 0.02285042 -211.723
299 4.472532 0.977473 0.02285042 -211.723
300 4.168279 1.041667 0.02131651 -218.525
301 4.168279 1.041667 0.02131655 -218.526
302 4.168279 1.041667 0.02131655 -218.526
303 4.168279 1.041667 0.02131655 -218.526
304 4.168279 1.041667 0.02131655 -218.526
305 4.168279 1.041667 0.02131655 -218.526
306 4.319870 1.052380 0.02169635 -208.163
307 4.168279 1.041667 0.02131655 -218.526
308 4.168279 1.041667 0.02131655 -218.526
309 4.352837 0.992213 0.02117363 -215.329
310 4.352837 0.992213 0.02117363 -215.329
311 4.168279 1.041667 0.02131655 -218.526
312 4.168279 1.041667 0.02131655 -218.526
313 4.707628 0.986781 0.02331133 -227.115
314 4.168279 1.041667 0.02131655 -218.526
315 4.707628 0.986781 0.02331133 -227.115
316 4.707628 0.986781 0.02331133 -227.115
317 4.707628 0.986781 0.02331133 -227.115
318 4.168279 1.041667 0.02131655 -218.526
319 4.168279 1.041667 0.02131655 -218.526
320 4.707628 0.986781 0.02331133 -227.115
321 4.707628 0.986781 0.02331133 -227.135
322 4.707628 0.986781 0.02331133 -227.135
323 4.707628 0.986781 0.02331133 -227.135
324 4.716600 0.993889 0.02364922 -239.383
325 4.716600 0.993889 0.02364922 -239.383
326 4.716600 0.993889 0.02364922 -239.383
327 4.716600 0.993889 0.02364922 -239.383
328 4.707628 0.986781 0.02331133 -227.134
329 4.707628 0.986781 0.02331133 -227.134
330 4.707628 0.986781 0.02331133 -227.134
331 4.707628 0.986781 0.02331133 -227.134
332 4.707628 0.986781 0.02331133 -227.134
333 4.707628 0.986781 0.02331133 -227.134
334 4.707628 0.986781 0.02331133 -227.134
335 4.427519 1.164905 0.02133534 -238.190
336 4.037017 1.177580 0.02070766 -219.837
337 4.427519 1.164905 0.02133536 -238.231
338 4.427519 1.164905 0.02133536 -238.231
339 4.037017 1.177580 0.02070766 -219.837
340 4.037017 1.177580 0.02070766 -219.837
341 4.037017 1.177672 0.02070737 -219.839
342 4.037017 1.177672 0.02070737 -219.839
343 4.206176 1.021071 0.02254820 -235.880
344 4.206176 1.021071 0.02254820 -235.880
345 4.037017 1.177672 0.02070735 -219.828
346 4.206176 1.021071 0.02254820 -235.880
347 4.206176 1.021071 0.02254820 -235.880
348 4.206176 1.021071 0.02254820 -235.880
349 4.206176 1.021071 0.02254820 -235.880
350 4.037017 1.177672 0.02070735 -219.828
351 3.964902 0.998294 0.01570583 -197.376
352 3.964902 0.998294 0.01570589 -197.371
353 3.964902 0.998294 0.01570589 -197.373
354 4.077001 1.052747 0.01977354 -221.834
355 4.129501 1.208958 0.02160599 -223.386
356 4.210401 1.384318 0.02034632 -220.145
357 4.129501 1.208958 0.02160598 -223.415
358 4.129501 1.208958 0.02160598 -223.415
359 4.210401 1.384318 0.02034632 -220.145
360 4.210401 1.384318 0.02034632 -220.145
361 4.129501 1.208958 0.02160598 -223.415
362 4.129501 1.208958 0.02160598 -223.415
363 4.129501 1.208958 0.02160598 -223.415
364 4.194943 1.241962 0.02097939 -216.490
365 4.190689 1.150949 0.02343461 -215.288
366 4.452388 1.090874 0.02443428 -215.346
367 4.452388 1.090878 0.02443459 -215.397
368 4.333770 1.193107 0.02388829 -229.416
369 4.333770 1.193144 0.02388840 -229.394
370 4.333770 1.193144 0.02388840 -229.394
371 4.291009 1.202058 0.02187891 -208.692
372 4.333770 1.193144 0.02388840 -229.394
373 4.333770 1.193144 0.02388840 -229.395
374 4.122704 1.270082 0.02096920 -201.839
375 4.122704 1.270082 0.02096904 -201.868
376 4.122704 1.270082 0.02096904 -201.868
377 4.122704 1.270082 0.02096904 -201.868
378 4.122704 1.270082 0.02096904 -201.868
379 4.122704 1.270082 0.02096904 -201.868
380 4.122704 1.270082 0.02096904 -201.868
381 4.122704 1.270082 0.02096904 -201.868
382 4.253946 0.882853 0.02102910 -209.744
383 4.122704 1.270082 0.02096904 -201.868
384 4.122704 1.270082 0.02096904 -201.868
385 4.253946 0.882853 0.02102910 -209.744
386 4.122704 1.270082 0.02096904 -201.868
387 4.253946 0.882853 0.02102910 -209.744
